TF name,#Gain,#Loss,Percent_gain,Percent_loss,FC,log2FC,abs(log2FC),percent,penalized_log2FC,odds_ratio,fisher_p_value,fisher_adj_pvalue,chi2_p_value,chi2_adj_pvalue
ZFHX2,35150,20827,6.605565965,3.913915287,1.687713065,0.755069646,0.755069646,10.51948125,7.942940987,1.6877130647716907,0.0,0.0,0.0,0.0
MAFG,21414,7915,4.024227299,1.487426874,2.705495894,1.435893052,1.435893052,5.511654173,7.91414593,2.7054958938723943,0.0,0.0,0.0,0.0
EMX1,22030,8673,4.139989138,1.629874071,2.540066874,1.34486648,1.34486648,5.769863209,7.759695627,2.54006687420731,0.0,0.0,0.0,0.0
TBX4,23619,10310,4.438602063,1.9375074,2.290882638,1.195903551,1.195903551,6.376109463,7.62521195,2.290882638215325,0.0,0.0,0.0,0.0
TIGD2,13918,2865,2.615541027,0.538405306,4.857940663,2.280344868,2.280344868,3.153946332,7.192085334,4.857940663176265,0.0,0.0,0.0,0.0
RFX2,11549,1580,2.170346553,0.2969216,7.309493671,2.869771474,2.869771474,2.467268152,7.080495762,7.309493670886076,0.0,0.0,0.0,0.0
RFX8,17791,6439,3.343374796,1.210049481,2.763006678,1.466239049,1.466239049,4.553424277,6.676408481,2.7630066780555986,0.0,0.0,0.0,0.0
KLF1,14041,3774,2.63865581,0.709229188,3.72045575,1.89547936,1.89547936,3.347884997,6.345846912,3.7204557498675146,0.0,0.0,0.0,0.0
FOXB1,7720,459,1.450781486,0.086257604,16.81917211,4.072034789,4.072034789,1.53703909,6.258876647,16.81917211328976,0.0,0.0,0.0,0.0
TCF3,19974,9052,3.753615208,1.70109767,2.20658418,1.141814787,1.141814787,5.454712879,6.228271822,2.206584180291648,0.0,0.0,0.0,0.0
USF1,18444,7798,3.466089862,1.465439641,2.365221852,1.241975511,1.241975511,4.931529503,6.124838875,2.3652218517568606,0.0,0.0,0.0,0.0
LCORL,29976,19026,5.633241689,3.575462249,1.575528225,0.6558356,0.6558356,9.208703937,6.039395867,1.575528224534847,6.74416517966244e-272,2.4616202905767908e-269,2.6748311324306456e-271,9.763133633371857e-269
POU4F1,9145,1063,1.718574701,0.199764342,8.603010348,3.104841573,3.104841573,1.918339043,5.956138812,8.603010348071496,0.0,0.0,0.0,0.0
HOXA2,8606,898,1.617283092,0.168756707,9.583518931,3.26055549,3.26055549,1.786039799,5.823481872,9.583518930957684,0.0,0.0,0.0,0.0
