TF name,#Gain,#Loss,Percent_gain,Percent_loss,FC,log2FC,abs(log2FC),percent,penalized_log2FC
PHF1,1378,1050,0.258960737,0.197321316,1.312380952,0.39218656,0.39218656,0.456282053,0.178947689
PKNOX1,409,141,0.076861351,0.026497434,2.90070922,1.536405681,1.536405681,0.103358785,0.158801024
HNF4A,11374,11098,2.137459667,2.085592349,1.024869346,0.035440001,0.035440001,4.223052016,0.149664969
FBXL19,7770,7521,1.46017774,1.413384399,1.0331073,0.046990102,0.046990102,2.873562138,0.135028977
OVOL1,171,12,0.032135186,0.002255101,14.25,3.832890014,3.832890014,0.034390287,0.131814186
ZFP91,1156,916,0.217241373,0.172139358,1.262008734,0.335721894,0.335721894,0.389380731,0.130723637
ZNF12,122,3,0.022926858,0.000563775,40.66666667,5.345774837,5.345774837,0.023490633,0.125575634
SREBF1,469,255,0.088136855,0.047920891,1.839215686,0.879090676,0.879090676,0.136057746,0.119607096
E2F3,1211,1002,0.227577251,0.188300913,1.208582834,0.273316356,0.273316356,0.415878164,0.113666305
ZNF623,101,2,0.018980431,0.00037585,50.5,5.658211483,5.658211483,0.019356281,0.109521934
REST,626,440,0.117641089,0.082687028,1.422727273,0.508659133,0.508659133,0.200328117,0.101898726
ZNF639,215,74,0.040403889,0.013906455,2.905405405,1.538739484,1.538739484,0.054310343,0.083569469
ZNF865,161,34,0.030255935,0.006389452,4.735294118,2.243454037,2.243454037,0.036645387,0.082212242
CREB1,375,228,0.070471899,0.042846914,1.644736842,0.717856771,0.717856771,0.113318813,0.081346677
ZNF34,110,9,0.020671757,0.001691326,12.22222222,3.611434712,3.611434712,0.022363082,0.080762812
KLF9,104,9,0.019544207,0.001691326,11.55555556,3.530514717,3.530514717,0.021235532,0.074972359
CREM,162,43,0.03044386,0.008080778,3.76744186,1.913585248,1.913585248,0.038524638,0.073720179
NFIB,795,664,0.149400425,0.124782242,1.197289157,0.259771619,0.259771619,0.274182667,0.071224875
TFE3,312,187,0.05863262,0.035141987,1.668449198,0.738507759,0.738507759,0.093774606,0.069253274
USF2,254,151,0.047732966,0.028376685,1.682119205,0.750279947,0.750279947,0.076109651,0.057103545
BHLHE40,175,76,0.032886886,0.014282305,2.302631579,1.203283598,1.203283598,0.047169191,0.056757914
RFX1,51,4,0.009584178,0.0007517,12.75,3.672425342,3.672425342,0.010335878,0.037957742
HOXA3,73,19,0.01371853,0.003570576,3.842105263,1.941897045,1.941897045,0.017289106,0.033573663
TCFEC,903,844,0.169696332,0.158608753,1.069905213,0.097482989,0.097482989,0.328305085,0.032004161
ZNF426,60,16,0.011275504,0.003006801,3.75,1.906890596,1.906890596,0.014282305,0.027234793
E2F1,30,2,0.005637752,0.00037585,15,3.906890596,3.906890596,0.006013602,0.023494485
MGA,25,0,0.004698127,0,26,4.700439718,4.700439718,0.004698127,0.022083261
ZBTB21,28,2,0.005261902,0.00037585,14,3.807354922,3.807354922,0.005637752,0.021464922
ZNF518A,56,22,0.010523804,0.004134351,2.545454545,1.347923303,1.347923303,0.014658155,0.019758069
ZNF654,144,108,0.027061209,0.020295907,1.333333333,0.415037499,0.415037499,0.047357116,0.019654979
AHDC1,71,38,0.013342679,0.007141152,1.868421053,0.901819606,0.901819606,0.020483832,0.018472721
ARID4B,77,44,0.01447023,0.008268703,1.75,0.807354922,0.807354922,0.022738933,0.018358389
NFIX,42,14,0.007892853,0.002630951,3,1.584962501,1.584962501,0.010523804,0.016679834
ZNF555,29,7,0.005449827,0.001315475,4.142857143,2.050626073,2.050626073,0.006765302,0.013873105
ZNF687,29,7,0.005449827,0.001315475,4.142857143,2.050626073,2.050626073,0.006765302,0.013873105
DRAP1,26,5,0.004886052,0.000939625,5.2,2.378511623,2.378511623,0.005825677,0.01385644
PBX1,29,11,0.005449827,0.002067176,2.636363636,1.398549376,1.398549376,0.007517003,0.010512899
ZBTB2,32,16,0.006013602,0.003006801,2,1,1,0.009020403,0.009020403
ATF1,18,4,0.003382651,0.0007517,4.5,2.169925001,2.169925001,0.004134351,0.008971232
ZNF507,12,0,0.002255101,0,13,3.700439718,3.700439718,0.002255101,0.008344864
ZNF558,64,49,0.012027204,0.009208328,1.306122449,0.385290156,0.385290156,0.021235532,0.008181841
ARID4A,18,5,0.003382651,0.000939625,3.6,1.847996907,1.847996907,0.004322276,0.007987554
ZNF10,14,5,0.002630951,0.000939625,2.8,1.485426827,1.485426827,0.003570576,0.00530383
ZNF549,17,8,0.003194726,0.001503401,2.125,1.087462841,1.087462841,0.004698127,0.005109038
E2F6,41,34,0.007704928,0.006389452,1.205882353,0.270089163,0.270089163,0.01409438,0.003806739
ZNF146,20,16,0.003758501,0.003006801,1.25,0.321928095,0.321928095,0.006765302,0.002177941
YY1,143,144,0.026873284,0.027061209,0.993055556,-0.010053665,0.010053665,0.053934493,-0.000542239
ZNF574,19,25,0.003570576,0.004698127,0.76,-0.395928676,0.395928676,0.008268703,-0.003273817
